"location","lineage","colonyID","distance","beeID","dance","phase","start_frame","end_frame","frame_difference","duration"
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,58,6614,6629,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,59,6708,6727,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,60,6792,6805,13,0.216666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,61,6910,6918,8,0.133333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,62,6989,7008,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,63,7090,7111,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,64,7184,7198,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,65,7248,7276,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,66,7350,7368,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,67,7434,7459,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,68,8448,8476,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,1,162,188,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,2,262,284,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,3,360,388,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,4,618,660,42,0.7
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,5,748,790,42,0.7
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,6,860,880,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,7,956,984,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,8,1052,1074,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,9,1177,1194,17,0.283333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,10,1266,1296,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,11,1384,1402,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,12,1484,1506,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,13,1574,1600,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GG",1,14,1694,1716,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,1,27494,27526,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,2,27638,27667,29,0.483333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,3,27758,27778,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,4,27874,27910,36,0.6
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,5,28002,28036,34,0.566666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,6,28124,28163,39,0.65
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,7,28270,28284,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,8,28372,28396,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,9,28518,28531,13,0.216666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,10,28618,28643,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,11,28748,28778,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,12,28862,28883,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,13,28982,28998,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"GT",1,14,29084,29101,17,0.283333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",1,1,31936,31954,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",1,2,32030,32045,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",1,3,32198,32218,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",1,4,32855,32863,8,0.133333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,1,8026,8054,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,2,8134,8143,9,0.15
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,3,8336,8343,7,0.116666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,4,8526,8541,15,0.25
